Published On,Headline
"September 7, 2018","Following the reunion of a Thai soccer team with the international experts who helped save their lives, today's show takes a look back at one of the greatest rescues of the 21st Century. Join us to get a sense of just how daring and skilled the historic effort had to be."
"September 6, 2018","Technology executives testify on Capitol Hill about what their companies are doing to prevent foreign actors from using social media to influence U.S. politics. School starts in France, but smartphones aren't allowed for the nation's elementary and middle school students. And we bring you a look at sailing taken to the extreme."
"September 5, 2018","With Japan recovering from one major storm and the U.S. Gulf Coast weathering another, we're explaining the difference (or lack thereof) between hurricanes, typhoons and cyclones. We're also reporting on the hearings concerning a U.S. Supreme Court nominee, and we're visiting a southern African country for a report on how apparent poaching is affecting the elephant population."
"September 4, 2018","History has been lost at a landmark museum in Brazil, following a fire that gutted the venue. Confirmation hearings are set to begin for the newest nominee to the U.S. Supreme Court. Water fountains have been shut off at all of Detroit's public schools. And a Positive Athlete shows exceptional perseverance. These are the stories we're explaining this Monday on CNN 10."
"August 31, 2018","A crisis in Venezuela leads off this Friday's show. We're explaining what led to it, what kinds of effects it's had, and how it's now affecting neighboring countries. Afterward, we're taking you to the capital of Vietnam, where a U.S. pilot and politician once remembered as an enemy is now being honored as a friend."
"August 30, 2018","After recapping a historic summit between the leaders of the United States and North Korea, today's show explains why there are questions about what happens next. We're also provide an update concerning Hurricane Maria's impact on Puerto Rico. And our other topics include very different U.S. winter forecasts and the dangers faced by the Texas horned lizard."
"August 29, 2018","We have a very science-oriented show set for Wednesday. Our first report is on a study concerning air pollution and brain health. That's followed by a look at ""space junk"" and efforts being made to track it and clean it up. And we're sitting down with a group of Kodak engineers who unknowingly aided the U.S. government's spy efforts during the Cold War."
"August 28, 2018","Today's show begins with an in-depth explanation of NAFTA, as the U.S. and Mexico forge a new agreement while analysts wonder if Canada will join in. Also featured is a look at the effects that Hurricane Lane had on Hawaii. And after a report on a new type of passenger spacecraft, we're telling you about a professor's attempt to set a world record for the longest continuous college lecture."
"August 27, 2018","On today's show, a CNN reporter who extensively covered the presidential campaigns of John McCain remembers the late U.S. senator. We're reporting on a shooting at a video game tournament in Jacksonville, Florida. And we're taking you to a surf school that's said to be available to those who most need a smile."
"August 24, 2018","New tariffs take effect on opposite sides of the Pacific, and they're characterized as the latest shots fired in a trade war. A new analysis of existing data leads a group of scientists to conclude there is ice on the moon. New forecasting models still disagree on where exactly a hurricane will hit. And a biologist and a group of schoolchildren focus on ""saving Nemo."""
"August 23, 2018","As a massive hurricane stalks Hawaii, CNN 10 is explaining how rarely the islands are hit and how storm behavior is hard to predict. We're also examining economic news, as the U.S. stock market continues to climb overall despite the bumps it has hit. And we're showing you how a sand artist makes a living using only a stick and a rake."
"August 22, 2018","Today's down-the-middle coverage begins with an explanation on a rule change at the U.S. Environmental Agency. After that, we're reporting on what experts describe as the ""abnormal behavior"" of a satellite that's believed to be from Russia. And we're introducing a CNN Hero who's connecting those who have extra with those who have need."
"August 21, 2018","The waters may be receding, but the damage has been done in the southern Indian state of Kerala. Find out what kind of impact historic monsoons have had there. We're also reporting on an ominous statistic from the CDC concerning overdose deaths in America. And we're looking at the struggles of an iconic American company."
"August 20, 2018","What precisely are security clearances, where do they come from, and how does one factor into a recent decision by the U.S. president? Today's down-the-middle coverage explores and explains that issue. We also examine the significance of Monday's planned family reunions on the Korean Peninsula, and we feature a story about a Positive Athlete."
"August 17, 2018","China is moving toward its goal of exploring an unseen part of Earth's natural satellite, and today's show leads off with an update on the country's plans. We're also reporting on the process surrounding a U.S. Supreme Court nomination. And we're remembering a highly influential American musician."
"August 16, 2018","Shortly after confirming the end of one Ebola outbreak, a central African country announces another. Today, we'll explore the unique challenge of treating patients in the Democratic Republic of Congo. Also featured: reports on Turkey's struggling economy and another entry into the widening market of flying cars."
"August 15, 2018","What exactly is a red tide, what may be some factors behind it, and how has a recent red tide affected the state of Florida? This is one issue we're explaining today, following a report on a bridge collapse in Italy. We're also looking into a controversial decision by the World Health Organization to classify gaming disorder as a mental health condition."
"August 14, 2018","On our second show of the new season, we're reporting the effects of wildfires in California, the use of facial recognition technology at a U.S. airport, and a CNN Hero's efforts to help children in need ""Sleep in Heavenly Peace."""
"August 13, 2018","Monday, August 13 marks CNN 10's first show of the 2018-2019 season! We begin with a report on NASA's first mission to the Sun, and that's followed by a look at a contested body of water on Earth. After some board game trivia, we're bringing you some board game history. And we're setting foot on the only revolving glass floor in (or above) the world. We welcome back all of our viewers worldwide and hope you enjoy the show!"
"June 1, 2018",Welcome to the last show of CNN 10's 2017-2018 season! We're updating you on an Ebola outbreak in Central Africa; we're reporting on new tariffs that took effect on certain imports to America; and we're explaining the difference between natural and laboratory-grown diamonds.
"May 31, 2018","Science is a recurring theme on CNN 10 this Thursday. From an update on an eruption in Hawaii to the discovery of a victim in Pompeii, we're exploring stories related to volcanology. And that's followed by a bit of pomology as we take a bite out of a rare, white strawberry. Finally, biology factors in to a mayfly swarm in Louisiana."
"May 30, 2018",It appears that a planned summit between the leaders of the United States and North Korea is on again; today's show explains the latest. We're also updating you on the search efforts for a passenger plane that's been missing since 2014. And we're featuring a report on a Positive Athlete who's helping the homeless when she's not on the basketball court.
"May 29, 2018","Today's show takes you to Florida and Maryland, where two different weather events have caused states of emergency. From there, we're explaining the history and significance of Memorial Day. And after a view of nationwide lightning strikes from space, we're hitting the trail on what could be the toughest race on the planet."
"May 25, 2018","This Friday, we're explaining why an upcoming summit between the leaders of the U.S. and North Korea was canceled, and we're delving into a sports controversy concerning rule changes and the U.S. National Anthem. That's followed by a look at how a home is literally slipping through the cracks in Hawaii. And we wrap with ""water taxis"" that are giving test rides in Paris."
"May 24, 2018","Welcome to a special edition of CNN10! Today, we're taking you inside the U.S. food industry and focusing specifically on animal feed: What's in the diets of animals raised for food, and why might that matter to some consumers?"
"May 23, 2018","This Wednesday's coverage begins with a down-the-middle explanation of a U.S. controversy involving an FBI informant, President Trump's political campaign, and the Russia investigation. It's followed by lunar trivia and a report on China's progress concerning a future moon mission. Our other topics center on glasses that can help the visually impaired and a blood donor who has helped millions of Australians."
"May 22, 2018","Trade tensions are easing between the U.S. and China, though some analysts aren't convinced that a trade war has been averted. New eruptions bring new threats on Hawaii's Big Island. JCPenney is in a race against time as its struggles mount. And we're visiting a man-made ""forest"" in an urban environment of Singapore."
"May 21, 2018",Venezuelans go to the polls in an election that could determine their leader for the next six years. A community in Texas is in mourning following a shooting at a high school. We give you a glimpse of what an ongoing eruption looks like from the ground. And we introduce a CNN Hero who's giving dogs hope -- one flight at a time.
"May 18, 2018","Ebola has been detected in a Congolese city, triggering concerns that a recent outbreak may become more difficult to contain. A special counsel investigation concerning Russia, the 2016 U.S. presidential election, and the Trump campaign reaches a milestone on its timeline. And a Positive Athlete helps train guide dogs for the blind."
"May 17, 2018","With North Korea threatening to call off upcoming talks with the U.S., we're explaining why doubt has been cast on the summit and looking back at how diplomacy has changed dramatically in the past few months. Then, we have an update for you on an explosive situation in Hawaii. And we wrap with a simple recorded word that's dividing listeners across the Internet."
"May 16, 2018",The history of unrest in Gaza is our first story this Wednesday. We're exploring how the region has been volatile for millennia. It's followed by an explanation of how Hollywood movies are booming in China. And we're examining how a shortage of truckers in the U.S. is affecting everything from the industry to the cost of shipping goods.
"May 15, 2018",Today's show gives an objective overview of recent events in Jerusalem surrounding a U.S. decision to formally move its embassy there. We're also reporting on a World Health Organization push to eliminate trans fats worldwide. And we're showing you how a Positive Athlete overcame cancer to inspire others and play the sport he loves.
"May 14, 2018","A dangerous situation on Hawaii's Big Island leads off a new week on CNN 10, as experts warn of more explosions from the Kilauea volcano. We're explaining the science of what's happening beneath the surface. Also featured: a rise in gas prices in the U.S. and the work of a CNN Hero to help young people in Vietnam."
"May 11, 2018",A new exchange of fire between old enemies threatens to affect regional stability in the Middle East. The date is set for a historic meeting between two rival leaders on opposite sides of the Pacific. And a grandfather in southern Asia proves that the love of learning is a lifelong experience.
"May 10, 2018","Three U.S. citizens have been released by North Korea, as the process moves forward to set up a historic summit between the two countries' leaders. Medical teams are working to contain an Ebola outbreak in the Democratic Republic of Congo. A deep-sea expedition yields images of ""otherworldly"" creatures. And a Positive Athlete makes a difference for her community and for Special Olympics athletes."
"May 9, 2018","There's been a major change in U.S. policy concerning the 2015 Iran nuclear deal, and that's the first story we're explaining today on CNN 10. It's followed by an update on an ongoing volcanic eruption in Hawaii. And we're taking a look at how blockchain could work in everyday business."
"May 8, 2018","Returning to daily events coverage, CNN 10 is explaining why it's hard to predict when a recent volcanic eruption in Hawaii will subside. We're also looking into the reasons behind a rise in global oil prices, and we're following a 2017 CNN Hero on his trip to visit a young fan from another state."
"May 7, 2018","Today's special edition features a look into the U.S. food industry. Our ""Raw Ingredients"" report examines produce: With Americans consuming 3 billion pounds of salad a year, what's being done to prevent foodborne illness? How stressed is the U.S. food industry, and to what extent has the practice of importing leafy greens changed? It's all featured this Monday."
"May 4, 2018",Friday's show brings you up to speed on an air pollution report by the World Health Organization and new developments concerning a planned meeting between the leaders of the U.S. and North Korea. We're also covering events surrounding a walkout of public school teachers and the advent of drones in business.
"May 3, 2018","This Thursday, we're taking you to central Africa for an in-depth report that concerns child labor and the element of cobalt. You'll see how a CNN crew uncovered the employment of children in mining the metallic element, and you'll understand why it can be difficult to verify whether the cobalt we use has been mined without child labor."
"May 2, 2018","The 2015 Iran nuclear deal factors into our first report today, following a statement by Israel's leader that Iran has been hiding evidence related to its nuclear program. We're also providing a look at the controversial issue of immigration in America, as about 100 people from a Central American ""caravan"" apply for asylum in the U.S."
"May 1, 2018","Tuesday's show brings you up to speed on a series of terrorist attacks in Afghanistan, and it explains how and why American and Jordanian troops are holding war games near Jordan's border with Syria. After that, we're covering a telecommunications merger that could accelerate the race for 5G across America. And we're featuring a Positive Athlete who helps special needs students when he's not on the mat."
"April 30, 2018","Today, we're explaining some potentially world-changing promises that were made at a summit between the leaders of South Korea and North Korea. We're also reporting on a CNN Hero's efforts to curb violence in New York City, and we're exploring how history was made at the NFL draft."
"April 27, 2018",The stage is set for an historic meeting between the leaders of North Korea and South Korea. The U.S. Senate confirms the nation's 70th secretary of state. The American sedan is fading from dealerships. And the Japanese island that's famous for its rabbits is also famous for the debate about how they got there.
"April 26, 2018","A closely watched case before the U.S. Supreme Court, a closely watched speech by France's president, and a closely watched report by Facebook compose our first three stories this Thursday. We're also bringing you coverage of a Positive Athlete and a robotic greeter at the Smithsonian."
"April 25, 2018","Armenia is the location of today's first report; the nation is in the midst of a political crisis, and we're explaining why. From there, we're previewing the upcoming talks between two leaders on the Korean Peninsula. And we're exploring how an enzyme is hoped to help tackle the world's problem with plastic waste."
"April 24, 2018",A state visit at the White House brings together two world leaders with a complex relationship. A warning is issued across the U.S. concerning romaine lettuce. And a CNN Hero works to help families affected by late-stage cancer. We're reporting on all of these stories and more today on CNN 10.
"April 23, 2018","A trio of world headlines starts off today's show: We're bringing you up to speed on some recent events from Nicaragua, Afghanistan and North Korea. After that, a Positive Athlete from Illinois volunteers to help children. And a growing family in Michigan has a serious grocery bill to contend with."
"April 20, 2018","Cuba names a new leader, following a retirement announcement by President Raul Castro. Scientists follow the eyes to determine whether athletes have had concussions. We feature a little history on ramen noodles. And we show you how robots are being taught to assemble furniture. Fridays are awesome on CNN 10!"
"April 19, 2018","What has changed between North Korea and the U.S. to open the door for talks between their leaders? That's the first subject we're exploring today on CNN 10. And it's followed by a report that looks back on the life and legacy of former First Lady Barbara Bush. Also featured are plastics: What impact are they having on the environment, and how can we use less of them?"
"April 18, 2018","A pair of cases before the U.S. Supreme Court, a pair of topics for a meeting between the leaders of the U.S. and Japan, and the idea of animals in the workplace: These subjects and more are covered today on CNN 10. "
"April 17, 2018",Today's show takes you to a Syrian refugee camp to show you how even survivors of an alleged chemical attack still carry the scars of war in their memory. Also featured: the studies that some researchers hope could lead to a type of dream-recording machine. And we're following a Positive Athlete who's working to keep a promise he made to his mother.
"April 16, 2018","The U.S., the U.K. and France have launched airstrikes on three targets in Syria, and today's show explains why and brings you some of the international reactions to the attack. Then, we're taking you to the moon for a more detailed look at our natural satellite. And we're reporting on the efforts of a CNN Hero who utilizes exoskeletons to help others walk."
"April 13, 2018","How much can a business learn about you from a few dozen ""likes""? Today's show dives into the psychographics of Facebook. We're also updating you on how some countries are addressing an alleged chemical weapons attack in Syria. And we feature an explanation of how a potential trade war could affect U.S. consumers."
"April 12, 2018",U.S. House Speaker Paul Ryan announces he'll step down at the end of his term. A group of high school students in Virginia works to raise awareness about human trafficking. And a Hero of Tomorrow develops a new type of ink made from algae. These stories and more are featured today on CNN 10!
"April 11, 2018","A world leader gives a speech that affects a stock market across an ocean, a company leader speaks at a hearing and affects a social media stock, and a CNN Hero harnesses the power of music to help her husband and hundreds of other people with dementia."
"April 10, 2018","Today's show begins by explaining why the world is watching what happens next in Syria, following a suspected chemical weapons attack. We're also looking at upcoming changes to Facebook, as its CEO prepares to meet with the U.S. Congress. And a Positive Athlete embodies perseverance on and off the football field."
"April 9, 2018","CNN 10 starts a new week by explaining events concerning the U.S. National Guard, politics in Hungary, and a massive crack in the earth in Kenya. We also feature a hero of tomorrow whose giant air filter is hoped to curb pollution in India."
"April 6, 2018","U.S. President Donald Trump sends National Guard soldiers to the U.S.-Mexico border, a CNN reporter in Singapore investigates an illicit ""black box"" that gives users access to global intellectual property, and a CNN Hero helps juvenile offenders serve meals instead of time."
"April 5, 2018","A potential withdrawal of U.S. troops from Syria is our first topic this Thursday, and that's followed by a look at a nationwide strike by French rail workers. We're also quizzing your knowledge about sports venue dimensions and featuring a Positive Athlete report about a young Paralympian."
"April 4, 2018","On the 50th anniversary of the assassination of Dr. Martin Luther King Jr., CNN 10 is looking back on his work and exploring how the civil rights leader is being remembered today. We're also reporting on the struggles of a county in Kentucky to meet its residents' need for clean water."
"April 03, 2018","China announces new tariffs on dozens of products from the U.S., and America says that more tariffs on Chinese goods are on the way: Is this the beginning of a trade war? Meanwhile, the U.S. and South Korea begin annual military drills that usually anger North Korea, but there are some differences this year. And within a month of a statewide teachers' strike in West Virginia, educators in several other states raise their voices as well."
"April 2, 2018","What kind of impact could life in space have on the human body? Today's special edition of CNN 10 explores that subject in depth -- and tells you how conclusions are being drawn from NASA's famous ""Twins Study."""
"March 30, 2018","This Friday's show is packed with information, from a report on Malala Yousafzai's return to her home country to an analysis of North Korea's historic relationship with China. We're bringing you an overview of what could be the second round of a nasty flu season, and we're telling the story of a Positive Athlete who persevered through a heart disorder."
"March 29, 2018","North Korean leader Kim Jong Un has made his first trip abroad since assuming power. What could that signal ahead of his planned meeting with U.S. President Donald Trump? Today's show also examines a former U.S. Supreme Court justice's controversial call for a repeal of the Second Amendment. And finally, dive into a Great Big Story about a marine biologist who's spent her life studying manta rays."
"March 28, 2018","More than 20 countries are following Britain's lead in expelling Russian diplomats, and we begin today by explaining why. On both sides of the Atlantic, governments have called on Facebook's CEO to answer questions about data privacy. And a Hero of Tomorrow discusses her work to harness the energy of ocean waves."
"March 27, 2018","If you've ever wondered what your chances are of getting hit by debris from a falling space station, today's show has your answer! (Hint: They're miniscule.) CNN 10 is also taking you on a ride through the streets of Egypt, where an election is expected to give the nation's incumbent president another four-year term. And we're visiting a UPS facility to explain exactly how shipping companies are keeping up with the rise of e-commerce."
"March 26, 2018","In today's show, we're explaining what hundreds of thousands of protesters -- and some counter-protesters -- called for in Saturday's ""March for Our Lives."" We're also telling you why a lawsuit involving AT&T, Time Warner, and the U.S. government is likely to be taught in law schools for years to come. And we feature a Positive Athlete who fought childhood cancer and is working to help other families do the same."
"March 23, 2018","New U.S. tariffs on goods from China, new setbacks for the driverless car industry, and a new push to create a massive marine sanctuary: These are our top stories this Friday. We're also quizzing your knowledge about the driest place on Earth, and we're taking you to a frigid and hauntingly beautiful seascape."
"March 22, 2018","Suffering has turned to rejoicing for dozens of families in Nigeria, following the return of more than 100 kidnapped schoolgirls, but not all of them have come home. Authorities in Texas say the search for a serial bomber may be over. The CEO of Facebook admits that some users' data was handled improperly. And we're taking you on a tour of Mont Saint-Michel."
"March 21, 2018","From bushfires in Australia to the passing of the last known male of a subspecies, CNN 10 is traveling the world today to explain the news. We're reporting on the hunt for a legendary, lost treasure. We're introducing you to a hero of tomorrow who hopes to transform prosthetic limbs. And we're showing you how a ""super monster wolf"" is warding off pests in Japan."
"March 20, 2018","Syrian President Bashar al-Assad took a tour of Eastern Ghouta recently, and we're examining the physical and civilian toll that the battle there has taken. Stateside, we're covering a series of mysterious bombings in Texas and the U.S. president's plan to address opioid abuse. And we're bringing you a scoop of history about a futuristic ice cream."
"March 19, 2018","Vladimir Putin, Tenzing Norgay, Landon Benton and ""Steve"" are some of the names you'll hear about this Monday on CNN 10. We're profiling a man who's played a major role in the Russian government since 1999, and we're explaining why a young athlete wants others to join him in wheelchair basketball."
"March 16, 2018","Following a report on the new sanctions that the U.S. is placing on Russia, we're taking you to the Arctic Circle to show you how the two countries are flexing their military might. That's followed by reports on the fall of an iconic U.S. retail company and the growing trend of ""reviewing"" zoo animals."
"March 15 , 2018","A new series called ""Positive Athlete"" kicks off today on CNN 10, and we'll tell you how you can nominate someone for the segment. Before that report, though, we're explaining why Britain is expelling 23 Russian diplomats and why thousands of U.S. students walked out of school yesterday. We also examine the work of Stephen Hawking."
"March 14 , 2018","As U.S. President Donald Trump moves to replace his secretary of state, we're explaining the functions of the job and the reasons for the change. As President Trump examines prototypes for a wall between the U.S. and Mexico, we're explaining what it would take to build it. And as students worldwide mark ""My Freedom Day,"" we're bringing you the success story of a young woman who found her way to an education in Haiti."
"March 13 , 2018","Today's show is jam-packed with international headlines. Russia says it's successfully tested a new type of weapon, but the U.S. is skeptical. Women in Saudi Arabia anticipate the change that will allow them to drive within months. China cements its current president's power. And we explain the secretive missions of America's ""Ghost Army"" during a historic conflict."
"March 12 , 2018",Our week begins with an explanation on why a planned meeting between the leaders of the U.S. and North Korea would be historic. We're also reporting on some legal changes in Florida following a shooting at a high school in Parkland last month. And we're featuring an inspiring follow-up to the award-winning work of a CNN Hero.
"March 9, 2018","On this Friday's show, you'll hear about new import tariffs announced by the U.S. government, including why they're controversial and when they'll take effect. We're exploring Jupiter with a NASA spacecraft and explaining daylight-saving time with a CNN meteorologist. And we're examining the challenges of making fake currency the legal way."
"March 8, 2018","What's it like to serve in the U.S. Army on one of the most heavily guarded borders on Earth? Today's show introduces you to a 19-year-old who works at the Korean Demilitarized Zone. We also update you on the storm-stricken U.S. Northeast, and we feature a hero of tomorrow who's working to reduce plastic waste in the environment."
"March 7, 2018","Today's show explains why an aid convoy had to leave part of Syria's capital before some of its trucks were unloaded. We're also reporting on the discovery of a historic battleship in the Coral Sea and the agreement that's expected to end an educators' strike in West Virginia. Finally, new devices to monitor home water usage hit the market."
"March 6 , 2018","International events and animal stories compose today's edition of CNN 10. We're reporting on talks on the Korean Peninsula, the presence of a U.S. aircraft carrier in Vietnam, and a man who endures insect stings in order to rank them."
"March 5 , 2018","With the northeastern U.S. recovering from one storm and bracing for another, we're kicking off the week with an explanation of what nor'easters are, how they form, and when they're likely to strike. Penguins also factor into today's show, following the discovery of a ""super colony"" of them in Antarctica. And a young biologist works to develop a new method of detecting certain types of cancer."
"March 2, 2018",China's coal conundrum leads off today's show. You'll see how a relatively cheap fossil fuel is both highly pollutive to the environment -- and depended upon by low-income residents. We're also looking into how electronic media can be addictive and what's being done to raise awareness about the issue.
"March 1, 2018","""Star wars"" is how you could describe today's special edition of CNN 10. We're explaining what could constitute a potential war in space, how its effects could be felt across a country, and what's being done to guard against it."
"February 28, 2018","As the White House announces a task force to address the opioid crisis in America, we're explaining the impact that the epidemic is having on the U.S. workforce. We feature a bit of trivia about an international organization. And a young scientist's invention shows promise for detecting levels of lead in drinking water."
"February 27, 2018","A change in term limits for China's leadership: That's our first story today on CNN 10, and it's accompanied by an explanation of what it could mean for the world's most populated nation. We're also reporting on a teachers' strike in West Virginia and the manufacturing process for what could become the future of fabrics."
"February 26, 2018","A new, controversial memo has been released in the U.S. government, and today's show begins with a down-the-middle explanation of what it's all about. With South Africa's second-largest city set to run out of water this summer, we're examining what it's like to live on less than seven gallons per day. And following the conclusion of the 2018 Winter Olympics, we're looking ahead to the next nation set to host the event."
"February 23, 2018","This Friday, we're reporting on mixed messages coming out of Nigeria concerning an apparent terrorist attack, and we're bringing you up to date on a mass kidnapping that occurred there in 2014. That's followed by some varying perspectives of students and parents concerning a recent school shooting in Florida. And we're featuring a Great Big Story on the ""mermaids"" who gather food the old-fashioned way on an Asian island."
"February 22, 2018","As part of CNN's Freedom Project, which shines a light on modern-day slavery, we're introducing you to a woman who climbed out of captivity and onto the highest peak in the world. Today's show also covers the passing of a man known as ""America's Pastor."" And an ancient Chinese statue is damaged at an American museum."
"February 21, 2018","Today's international coverage begins in part of Syria's capital, where ongoing fighting between government forces and rebels is taking a toll on civilians. We're making a stop in Venezuela, whose government hopes to prop up its failing economy with a cryptocurrency. And we're examining Olympic diplomacy with regard to the relationship between North and South Korea."
"February 20, 2018",CNN 10 kicks off a new week by explaining why the U.S. recently indicted 13 Russian citizens. We're also looking at how proposed U.S. tariffs could impact both American and Chinese metal industries. And we're plunging into frigid waters with a minke whale and the camera that lets scientists see what the animal does.
"February 16, 2018","We begin today with a look at some of the different responses to Wednesday's shooting at a high school in Parkland, Florida. That's followed by an explanation of how full Internet access, different types of music, and diverse faces are probably new sights to certain Olympians. And we're featuring a Great Big Story about the [likely] history of one of America's favorite snack foods."
"February 15, 2018","We begin with an update on political tensions in South Africa, and that's followed by a look at the world's largest annual human migration. The impact of wind on the Olympics, the experience of being alone in the Louvre, and the polydactyl cat who toed a world record are also featured."
"February 14, 2018","Wednesday's show takes you to South Africa, Haiti, and the U.S. Our first report examines political instability surrounding calls for South Africa's president to step down. Our second is part of CNN's Freedom Project; it's aimed at shedding light on human trafficking in some of Haiti's orphanages. And our third shows you how dog-like robots are getting advanced enough to open doors."
"February 13, 2018","Three financial stories lead off today's edition of CNN 10: We're reporting on the Trump Administration's infrastructure plan, the definition of a stock market correction, and a price hike at Disney parks. After that, we're traveling the world with two artists who use spray paint to create murals with messages."
"February 12, 2018","Tensions in Syria involving American, Kurdish and Turkish fighters leads off today's show. We're also explaining a new budget deal in the U.S. government. And after some history about the Olympics, we're taking a look at how athletes' fitness is often mental as well as physical."
"February 9, 2018",What's historic about this year's Olympic Winter Games? What's driving the recent turmoil in the U.S. stock market? What kind of impact is India's growing population having on its auto industry? These are some of the questions answered in this Friday's [awesome] edition of CNN 10.
"February 8, 2018","Today's show begins with explanations of natural events in Taiwan and South Korea: While officials in one place search for survivors of an earthquake, officials in the other are warning people about plunging temperatures. We're also profiling a young inventor who hopes his work can lead to lifesaving drones."
"February 7, 2018",An outbreak of norovirus forces some changes to security ahead of the 2018 Winter Olympics. Wild swings in the U.S. stock market get investors' attention worldwide. The world's most powerful rocket lifts off. Lasers help researchers discover thousands of Mayan structures in Guatemala. And we introduce you to an endangered animal that has something no other mammal has.
"February 6, 2018","The Dow Jones Industrial Average takes a tumble, and we're explaining why that followed good news for the U.S. economy. Concerning North and South Korea, signs of unity and disunity coincide ahead of the Olympic Games. And one of the world's most famous works of art is getting an annual checkup."
"February 5, 2018","A new week of CNN 10's news coverage begins with a down-the-middle explanation of a controversial memo that was recently released in the U.S. government. That's followed by reports on the upcoming launch of a new rocket, the ""access"" that advertisers buy for the Super Bowl, and the longest zip line on the planet."
"February 2, 2018",A whale of a tale is featured in today's show: An orca has apparently learned how to mimic the vocalizations of its trainer. We're also covering the efforts to defuse two historic bombs in Hong Kong. And a pair of sports stories explain how bans on Russian athletes were overturned and how this year's Super Bowl aims to be a zero waste game.
"February 1, 2018",How do religious and regional tensions factor into an ongoing conflict in Yemen? What led to the resignation of the leader of the U.S. Centers for Disease Control? And what country might be the ultimate challenge for a hyperpolyglot? The answers to these questions are featured this Thursday on CNN 10.
"January 31, 2018",The U.S. president's State of the Union address and the opposing party's official response: These are our first two stories this Wednesday on CNN 10. We're also covering a brutal flu season in the U.S. and explaining how the virus can become deadly. And we're taking a seat in an office that's part rainforest.
"January 30, 2018","A series of violent attacks in Afghanistan has some residents asking if their government can protect them. U.S. officials warn that a fitness app could lead to security problems for American troops. New reports detail the controversial use of monkeys and humans in testing diesel emissions. And a massive, 3,200-year-old statue is moved down the street in Cairo.  "
"January 29, 2018","While U.S. President Donald Trump prepares for his first State of the Union address, lawmakers on Capitol Hill are debating his proposal to reform the country's immigration system. While part of Europe struggles under heavy floods, part of Africa struggles with severe drought. And while 3D printers find new uses in construction, a U.S. university is exploring their role in cooking."
"January 26, 2018",This Friday's show is a special edition; we're wrapping up our series on the prospect of autonomous driving. What will city roadways look like if everything goes as hoped by the manufacturers and supporters of driverless technology? And how could that change the look of American cities themselves?
"January 25, 2018","As the World Economic Forum meeting takes place in Davos, Switzerland, CNN 10 is explaining the term ""globalization,"" why it's controversial, and how U.S. President Donald Trump's view of it contrasts with that of French President Emmanuel Macron. The closings of more than 180 Toys ""R"" Us stores, the testing of new aircraft technology, and the work of a magician to keep up with the digital age are our other stories this Thursday."
"January 24, 2018","You've heard of deforestation, but what might ""reforestation"" look like? Today's Great Big Story takes you to southern India for the answer. Also explained today: the U.S. government's new tariffs on solar panels and washing machines, an earthquake in the Gulf of Alaska, and how tsunamis are generated."
"January 23, 2018","This Tuesday, we're reporting on a Japanese missile defense drill and explaining why ballistic missiles are such an international concern. Our other topics include the expected reopening of the U.S. government, appeals by dozens of Russian athletes who hope to clear their names of doping allegations, and the technological future of retail."
"January 22, 2018","An objective explainer on a U.S. government shutdown is just a click away on CNN 10. We're also reporting on the international Women's March that took place over the weekend, and our series on driverless cars shifts gears with a look at their potential vulnerability to hacking."
"January 18, 2018","An oil spill in the East China Sea leads off our coverage this Friday, followed by a look into the volatility of Bitcoin. We're explaining why America's flu season is causing misery nationwide. And we're looking into how the ""king of cheeses"" is used as currency in Italy."
"January 18, 2018","Some international experts and leaders are expressing skepticism about recent talks between North Korea and South Korea, and we're explaining why on today's edition of CNN 10. We're also visiting the desert that's home to the largest desalinated water reserve on the planet. And our series on driverless cars rolls on with a look at their potential safety."
"January 17, 2018","With a deadline looming for U.S. lawmakers and the president to reach a budget agreement, we're explaining what a potential government shutdown could look like and who would and would not be affected. Today's show also provides a detailed analysis of the economic impacts that the advent of driverless cars could have on America."
"January 16, 2018","Welcome back to CNN 10! Today, we're explaining how a false alarm triggered fear throughout Hawaii, how civilians are threatened in a province of Syria, and how Americans paid tribute to a renowned civil rights leader. We're also showing you how a robotic player is serving up a spin on table tennis."
"January 11, 2018","Mudslides devastate homes and lives in Southern California, and the U.S. Congress advances the reauthorization of a controversial intelligence-gathering law: These are our first two reports this Friday. We're also featuring a Great Big Story about a public library that offers what some might call a human search engine."
"January 11, 2018","With talks between North and South Korea indicating a reduction of tensions on their shared peninsula, we're looking at how the Olympics can also serve to bring rival nations together. Today's other stories include a new search for a missing passenger plane, a look at how alligators survive frigid temperatures, and the apparent loss of a secret aircraft."
"January 10, 2018","From mudslides in California to a heatwave in Australia, today's show begins by examining the effects of extreme weather. We're also looking into the materials that could be used for the buildings of the future -- and some of the technology that could appear in them."
"January 9, 2018","This special edition of CNN 10 could be described as heroic. After a quick recap of the 2017 CNN Hero of the Year, we're taking an in-depth look at CNN's Young Wonders: children and young adults who are taking action to make an extraordinary impact on their communities."
"January 8, 2018","Today, we're explaining the significance of upcoming face-to-face talks between representatives from North and South Korea. We're also looking into the dramatic rise of a U.S. stock index, and we're introducing a dog who has his own day named after him because of his help for other species."
"January 5, 2018","A phone call over a ""hotline"" between North and South Korea may signal a breakthrough between the two countries, though some officials are skeptical. A ""bomb cyclone"" hits the eastern U.S., and we're explaining the science behind it. And in a small island nation in the Atlantic, one man's trash is another man's gym: That's today's Great Big Story!"
